Date	Location	Team	OppTeam	TeamId	GameId	PercentBet_ML	Open_Line_ML	Pinnacle_ML	5dimes_ML	Heritage_ML	Bovada_ML	Betonline_ML	Average_Line_ML	Best_Line_ML	Worst_Line_ML	PercentBet_Spread	Open_Line_Spread	Open_Odds_Spread	Pinnacle_Line_Spread	Pinnacle_Odds_Spread	5dimes_Line_Spread	5dimes_Odds_Spread	Heritage_Line_Spread	Heritage_Odds_Spread	Bovada_Line_Spread	Bovada_Odds_Spread	Betonline_Line_Spread	Betonline_Odds_Spread	Average_Line_Spread	Average_Odds_Spread	Best_Line_Spread	Worst_Line_Spread	Best_Odds_Spread	Worst_Odds_Spread	PercentBet_OU	Open_Line_OU	Open_Odds_OU	Pinnacle_Line_OU	Pinnacle_Odds_OU	5dimes_Line_OU	5dimes_Odds_OU	Heritage_Line_OU	Heritage_Odds_OU	Bovada_Line_OU	Bovada_Odds_OU	Betonline_Line_OU	Betonline_Odds_OU	Average_Line_OU	Average_Odds_OU	Best_Line_OU	Worst_Line_OU	Best_Odds_OU	Worst_Odds_OU	Pts	Spread	Result	Total
11/29/18	home	L.A. Lakers	Indiana	1610612747	21800317	59.9	-185	-211	-210	-215	-230	-220	-217.2	-210	-230	55	-5	-107	-5	-104	-5	-108	-5	-105	-5.5	-105	-4.5	-123	-5	-108.67	-4.5	-5.5	-104	-123	45.7	215.5	-110	220.5	-107	220.5	-105	221	-105	221	-115	220.5	-110	219.83	-108.67	221	215.5	-105	-115	104	8	W	200
11/29/18	away	L.A. Clippers	Sacramento	1610612746	21800318	46.4	-145	-122	-130	-130	-130	-130	-128.4	-122	-130	44.9	-2	-115	-2	-102	-2	-102	-2	-105	-2	-105	-2.5	-102	-2.08	-105.17	-2	-2.5	-102	-115	49.5	232.5	-110	236	-101	236	-105	237	-105	236	-110	236.5	-105	235.67	-106	237	232.5	-101	-110	133	12	W	254
11/29/18	home	Sacramento	L.A. Clippers	1610612758	21800318	53.6	125	111	120	110	110	110	112.2	120	110	55.1	2	-105	2	-113	2	-108	2	-105	2	-115	2.5	-118	2.08	-110.67	2.5	2	-105	-118	50.5	232.5	-110	236	-109	236	-105	237	-105	236	-110	236.5	-115	235.67	-109	237	232.5	-105	-115	121	-12	L	254
11/30/18	away	Cleveland	Boston	1610612739	21800319	54.1	876	720	725	725	700	700	714	725	700	66.7	13.5	-110	12.5	-110	12.5	-107	12	-105	13	-115	12	-107	12.58	-109	13.5	12	-105	-115	0	209	-110	206.5	-108	206.5	-105	206	-105	206	-115	206.5	-112	206.75	-109.17	209	206	-105	-115	95	-33	L	223
11/30/18	home	Boston	Cleveland	1610612738	21800319	45.9	-1500	-925	-925	-1025	-1200	-950	-1005	-925	-1200	33.3	-13.5	-110	-12.5	-100	-12.5	-103	-12	-105	-13	-105	-12	-113	-12.58	-106	-12	-13.5	-100	-113	100	209	-110	206.5	-103	206.5	-105	206	-105	206	-105	206.5	-108	206.75	-106	209	206	-103	-110	128	33	W	223
11/30/18	away	Utah	Charlotte	1610612762	21800320	36.6	110	114	125	115	120		118.5	125	114	46.3	2.5	-115	2	-106	2.5	-104	2	-105	2.5	-110			2.3	-108	2.5	2	-104	-115	53.7	217	-110	218	-108	218	-105	218	-105	218	-115	218	-112	217.83	-109.17	218	217	-105	-115	119	8	W	230
11/30/18	home	Charlotte	Utah	1610612766	21800320	63.4	-130	-126	-135	-135	-140		-134	-126	-140	53.7	-2.5	-105	-2	-104	-2.5	-106	-2	-105	-2.5	-110			-2.3	-106	-2	-2.5	-104	-110	46.3	217	-110	218	-102	218	-105	218	-105	218	-105	218	-108	217.83	-105.83	218	217	-102	-110	111	-8	L	230
11/30/18	away	Chicago	Detroit	1610612741	21800321	51.3	400	328	355	350	325	320	335.6	355	320	49.5			8.5	-111	8.5	-102	8.5	-105	8.5	-110	8.5	-115	8.5	-108.6	8.5	8.5	-102	-115	58	216.5	-110	217	-106	217	-103	217	-105	218	-105	217	-110	217.08	-106.5	218	216.5	-103	-110	88	-19	L	195
11/30/18	home	Detroit	Chicago	1610612765	21800321	48.7	-525	-377	-400	-440	-450	-380	-409.4	-377	-450	50.5			-8.5	-101	-8.5	-108	-8.5	-105	-8.5	-110	-8.5	-105	-8.5	-105.8	-8.5	-8.5	-101	-110	42	216.5	-110	217	-104	217	-107	217	-105	218	-115	217	-110	217.08	-108.5	218	216.5	-104	-115	107	19	W	195
11/30/18	away	Washington	Philadelphia	1610612764	21800322	46.2		334	340	345	315	340	334.8	345	315	43.4	7.5	-110	8.5	-106	8.5	-107	8.5	-105	8.5	-105	8.5	-110	8.33	-107.17	8.5	7.5	-105	-110	51.7	235	-110	234	-103	233.5	-104			234	-105	233.5	-110	234	-106.4	235	233.5	-103	-110	98	-25	L	221
