Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Joffrey Lauvergne,DEN,24,9,15,11.2,3.2,1.7,51.9,6.4,50.3,0.4,53.8,3.3
John Henson,MIL,66,34,32,18.3,4.7,2.7,58.6,8.8,53.1,0.5,56.6,4.4
John Jenkins,ATL,24,13,11,12.4,1.6,0.2,10.3,3.6,44.8,0.1,46.4,9.5
John Lucas III,DET,21,8,13,12.9,0.8,0.1,12.5,2,37.2,0,38.1,12.3
John Salmons,NOP,21,9,12,12.8,1,0.1,14.3,2.4,41.2,0.2,44.7,12.9
John Wall,WAS,79,45,34,35.9,4.6,0.5,10.7,9.4,49.1,0.6,52.3,9.8
Johnny O'Bryant III,MIL,33,16,17,10.8,1.9,0.8,42.9,4.7,40.6,0.4,44.1,6.2
Jon Leuer,MEM,63,45,18,13.1,3.3,1.5,44.9,6.6,49.5,0.4,52.8,4.7
Jonas Jerebko,BOS,75,37,38,16.4,3.8,1.7,45.4,7.3,51.6,0.5,55.5,5.7
Jonas Valanciunas,TOR,80,47,33,26.2,8.7,4.6,53.1,16.8,51.7,0.9,54.5,3.8
Jordan Adams,MEM,30,14,16,8.3,0.9,0.4,39.3,1.9,49.1,0.2,53.8,7.7
Jordan Clarkson,LAL,59,11,48,25,3.2,0.9,27.2,7.7,41.9,0.7,46,8.4
Jordan Farmar,LAC,36,23,13,14.7,1.2,0.3,21.4,3.4,34.1,0.3,36.8,10.7
Jordan Hamilton,LAC,14,10,4,8.7,1.1,0.6,50,2.6,44.4,0.2,48.5,5.5
Jordan Hill,LAL,70,19,51,26.8,7.9,3.9,48.9,14.6,54.4,1,58.5,4.9
Jorge Gutierrez,MIL,20,10,10,8.7,1.3,0.2,16,2.5,50,0.2,53.2,8.5
Jose Calderon,NYK,41,7,34,30.1,3,0.2,8.3,5.6,52.8,0.3,55.8,11.9
Josh McRoberts,MIA,17,8,9,17.4,2.6,1.5,55.6,5.7,46.4,0.5,51.1,5.2
Josh Smith,HOU,83,41,42,27.7,6.4,2.9,45.3,12.3,51.9,0.8,55.6,6.3
Jrue Holiday,NOP,40,20,20,32.6,3.4,0.9,27.4,7.9,43,0.5,45.6,8.8
Julius Randle,LAL,1,0,1,13.6,0,0,0,4,0,0,0,0
Justin Hamilton,MIN,41,6,35,17.4,3.3,1.9,56.7,7.8,41.7,0.7,45.7,5.8
Justin Holiday,GSW,59,49,10,11.1,1.2,0.3,24.7,2.8,44,0.2,46.8,10.2
Jusuf Nurkic,DEN,62,21,41,17.8,6.2,3.4,55.8,11.8,52.4,0.6,55.2,4.2
KJ McDaniels,HOU,62,19,43,21.8,3.2,1.3,40.5,6.9,46.6,0.7,51.5,7.5
Kalin Lucas,MEM,1,0,1,5.5,0,0,0,0,0,0,0,0
Kawhi Leonard,SAS,64,46,18,31.8,7.2,2.5,34.1,11.5,62.6,0.7,66.8,6.9
Kelly Olynyk,BOS,64,31,33,22.2,4.7,1.8,38.9,10.4,45.5,0.9,49.8,6.2
Kemba Walker,CHA,62,21,41,34.2,3.5,0.8,23.6,9.5,37.2,0.9,40.9,9.8
Kendall Marshall,MIL,27,12,15,15.3,1,0.2,18.5,2.7,37.5,0.1,39.1,11.1
Kendrick Perkins,CLE,68,38,30,16.9,4.7,2.3,49.1,9.4,50.1,0.8,54.5,4.7
Kenneth Faried,DEN,75,30,45,27.8,8.9,4.5,50,16.1,55.3,0.7,57.9,5.5
Kent Bazemore,ATL,75,53,22,17.6,3,0.7,23,5.6,53,0.5,57.8,6.3
Kentavious Caldwell-Pope,DET,82,32,50,31.5,3.1,0.7,21.2,6.8,46,0.6,50.5,9.5
Kenyon Martin,MIL,10,6,4,10.2,1.8,1.1,61.1,4.1,43.9,0.3,47.4,4.6
Kevin Durant,OKC,27,18,9,33.8,6.6,1.8,27,10.3,64,0.6,67.7,6.7
Kevin Garnett,MIN,47,20,27,20.3,6.6,2.3,35.4,9.7,68.4,0.6,73,5.4
Kevin Love,CLE,74,50,24,33.7,9.8,4.4,44.5,17,57.7,1,61.4,4.8
Kevin Martin,MIN,38,11,27,33.7,3.6,0.5,13.1,7.5,48.1,0.7,53.1,9
Kevin Seraphin,WAS,79,45,34,15.6,3.6,1.6,44.8,7.8,46.8,0.6,50.9,5.4
Khris Middleton,MIL,78,39,39,30.1,4.4,1.2,28.2,8.2,53.6,0.5,57.3,7.6
Kirk Hinrich,CHI,66,37,29,24.4,1.8,0.4,21.5,4.3,42.6,0.2,45,11.8
Klay Thompson,GSW,77,64,13,31.9,3.2,0.9,27.1,7.9,40.8,0.6,44.2,8.6
Kobe Bryant,LAL,35,10,25,34.5,5.7,1.5,25.6,10.9,52.2,0.8,56.4,7.2
Kosta Koufos,MEM,81,55,26,16.6,5.3,2.7,50.5,9.2,57.3,0.6,61.5,4.4
Kostas Papanikolaou,HOU,42,28,14,18.4,2.8,1,36.4,7.1,39.6,0.6,43.4,7.9
Kris Humphries,WAS,64,37,27,21,6.5,2.7,40.9,12.6,51.7,0.7,55,5.1
Kyle Anderson,SAS,33,22,11,10.9,2.2,0.8,34.7,4,55,0.2,58.1,6.1
Kyle Korver,ATL,75,58,17,32.2,4.1,1.2,30.3,9,44.9,0.6,48.3,7.7
Kyle Lowry,TOR,70,43,27,34.5,4.7,1.2,25.3,11.7,40.1,0.9,43.3,8.9
Kyle O'Quinn,ORL,51,15,36,16.2,3.9,1.8,47.2,7.5,52,0.6,56.5,4.5
Kyle Singler,OKC,80,36,44,21.8,2.4,0.7,28.9,6.2,39.4,0.4,42.1,8.2
